OutAreaCode	OutAreaTypeCode	OutAreaName	OutMapCode	InAreaCode	InAreaTypeCode	InAreaName	InMapCode
10YLT-1001A0008Q	BZN	Litgrid BZ	LT	10Y1001A1001A47J	BZN	SE4 BZ	SE4
10YNO-4--------9	BZN	NO4 BZ	NO4	10Y1001A1001A44P	BZN	SE1 BZ	SE1
10Y1001A1001A39I	BZN	Elering BZ	EE	10YFI-1--------U	BZN	Fingrid BZ	FI
10Y1001A1001A45N	BZN	SE2 BZ	SE2	10Y1001A1001A44P	BZN	SE1 BZ	SE1
10YNO-4--------9	BZN	NO4 BZ	NO4	10Y1001A1001A45N	BZN	SE2 BZ	SE2
10YPL-AREA-----S	BZN	PSE SA BZ	PL	10Y1001A1001A47J	BZN	SE4 BZ	SE4
10YFI-1--------U	BZN	Fingrid BZ	FI	10Y1001A1001A39I	BZN	Elering BZ	EE
10YDK-2--------M	BZN	DK2 BZ	DK2	10Y1001A1001A47J	BZN	SE4 BZ	SE4
10Y1001A1001A47J	BZN	SE4 BZ	SE4	10YPL-AREA-----S	BZN	PSE SA BZ	PL
10YAT-APG------L	CTA	APG CA	AT	10YSI-ELES-----O	CTA	ELES CA	SI
10YSI-ELES-----O	CTA	ELES CA	SI	10YAT-APG------L	CTA	APG CA	AT
10Y1001A1001A47J	BZN	SE4 BZ	SE4	10Y1001A1001A82H	BZN	DE-LU BZ	DE_LU
10YIT-GRTN-----B	CTA	Italy CA	IT	10YAT-APG------L	CTA	APG CA	AT
10Y1001A1001A39I	BZN	Elering BZ	EE	10YLV-1001A00074	BZN	AST BZ	LV
10YLV-1001A00074	BZN	AST BZ	LV	10Y1001A1001A39I	BZN	Elering BZ	EE
10YNO-3--------J	BZN	NO3 BZ	NO3	10Y1001A1001A48H	BZN	NO5 BZ	NO5
10YNO-2--------T	BZN	NO2 BZ	NO2	10Y1001A1001A48H	BZN	NO5 BZ	NO5
10Y1001A1001A73I	BZN	IT-North BZ	IT_North	10Y1001A1001A70O	BZN	IT-Centre-North BZ	IT_CNOR
10YNL----------L	BZN	TenneT NL BZ	NL	10YNO-2--------T	BZN	NO2 BZ	NO2
10YNO-4--------9	BZN	NO4 BZ	NO4	10YFI-1--------U	BZN	Fingrid BZ	FI
10Y1001A1001A45N	BZN	SE2 BZ	SE2	10Y1001A1001A46L	BZN	SE3 BZ	SE3
10Y1001A1001A71M	BZN	IT-Centre-South BZ	IT_CSUD	10Y1001A1001A74G	BZN	IT-Sardinia BZ	IT_SARD
10Y1001A1001A70O	BZN	IT-Centre-North BZ	IT_CNOR	10Y1001A1001A893	BZN	Italy_Sacodc	IT_SACO_DC
10Y1001A1001A47J	BZN	SE4 BZ	SE4	10Y1001A1001A46L	BZN	SE3 BZ	SE3
10YSI-ELES-----O	CTA	ELES CA	SI	10YHR-HEP------M	CTA	HOPS CA	HR
10YNL----------L	BZN	TenneT NL BZ	NL	10YDK-1--------W	BZN	DK1  BZ	DK1
10YFI-1--------U	BZN	Fingrid BZ	FI	10Y1001A1001A44P	BZN	SE1 BZ	SE1
10YDE-VE-------2	CTA	50Hertz CA	DE_50HzT	10Y1001A1001A796	CTA	Energinet CA	DK
10YFI-1--------U	BZN	Fingrid BZ	FI	10Y1001A1001A46L	BZN	SE3 BZ	SE3
10Y1001A1001A44P	BZN	SE1 BZ	SE1	10YNO-4--------9	BZN	NO4 BZ	NO4
10Y1001A1001A44P	BZN	SE1 BZ	SE1	10Y1001A1001A45N	BZN	SE2 BZ	SE2
10Y1001A1001A016	CTA	SONI CA	NIE	10YGB----------A	CTA	National Grid CA	GB
10YIE-1001A00010	CTA	EirGrid CA	IE	10YGB----------A	CTA	National Grid CA	GB
10YGB----------A	CTA	National Grid CA	GB	10YIE-1001A00010	CTA	EirGrid CA	IE
10YFR-RTE------C	BZN	RTE BZ	FR	10YES-REE------0	BZN	REE BZ	ES
10YLV-1001A00074	BZN	AST BZ	LV	10YLT-1001A0008Q	BZN	Litgrid BZ	LT
10YFR-RTE------C	BZN	RTE BZ	FR	10YGB----------A	BZN	National Grid BZ	GB
10Y1001A1001A48H	BZN	NO5 BZ	NO5	10YNO-1--------2	BZN	NO1 BZ	NO1
10YGB----------A	BZN	National Grid BZ	GB	10YNL----------L	BZN	TenneT NL BZ	NL
10Y1001A1001A82H	BZN	DE-LU BZ	DE_LU	10Y1001A1001A47J	BZN	SE4 BZ	SE4
10Y1001A1001A70O	BZN	IT-Centre-North BZ	IT_CNOR	10Y1001A1001A73I	BZN	IT-North BZ	IT_North
